X,Y,k,layer,path
34.6026532859346,0.975618385443562,305.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6151532859146,0.975618385443562,308.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5880699526246,0.973535052113563,328.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5964032859446,0.973535052113563,323.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5401532860346,0.971451718783563,363.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5443199526946,0.971451718783563,360.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6297366192246,0.971451718783563,302.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6339032858846,0.971451718783563,303.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6589032858446,0.971451718783563,311.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6651532858346,0.971451718783563,304.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.7047366191045,0.971451718783563,299.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.4964032861046,0.969368385453563,540.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5484866193546,0.969368385453563,393.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5734866193146,0.969368385453563,343.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6568199525146,0.969368385453563,309.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6609866191746,0.969368385453563,319.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
