ProfileID,LayerNr,ExCa,ExMg,ExNa,ExK,Country,loc_longitude,loc_latitude
KE SOTER_24-116,3.000000,1.500000,0.500000,0.400000,0.200000,KE,35.430000,3.050000
KE SOTER_25-179,3.000000,4.100000,1.800000,0.200000,0.200000,KE,35.950000,2.950000
KE SOTER_25-180,3.000000,10.000000,1.500000,0.400000,0.300000,KE,35.650000,2.980000
KE SOTER_38-111,3.000000,7.100000,1.500000,0.600000,0.600000,KE,35.280000,2.900000
KE SOTER_39-101,3.000000,24.000000,6.900000,5.800000,0.200000,KE,35.620000,2.930000
KE SOTER_39-122,3.000000,22.700000,1.000000,0.300000,0.200000,KE,35.670000,2.900000
KE SOTER_41-10,3.000000,13.600000,7.000000,0.600000,1.800000,KE,36.970000,2.580000
KE SOTER_41-16,3.000000,30.500000,14.500000,11.300000,0.800000,KE,36.800000,2.600000
KE SOTER_41-17,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,36.800000,2.700000
KE SOTER_41-2,3.000000,5.700000,6.600000,0.600000,0.100000,KE,36.930000,2.700000
KE SOTER_41-8,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,36.900000,2.500000
KE SOTER_42-16,3.000000,16.800000,0.700000,14.400000,2.800000,KE,37.420000,3.920000
KE SOTER_42-24,3.000000,40.000000,5.800000,9.500000,1.800000,KE,37.200000,2.780000
KE SOTER_42-3,3.000000,9.600000,7.100000,10.000000,2.500000,KE,37.220000,2.620000
KE SOTER_43-19,3.000000,24.000000,0.900000,5.400000,1.600000,KE,37.761300,2.869400
KE SOTER_43-4,3.000000,9.300000,1.100000,2.600000,0.400000,KE,37.450000,2.580000
KE SOTER_54-18,3.000000,8.800000,5.200000,1.000000,1.900000,KE,37.270000,2.430000
KE SOTER_54-4,3.000000,6.200000,1.600000,0.100000,0.800000,KE,37.000000,2.400000
KE SOTER_54-8,3.000000,2.800000,2.300000,1.100000,1.100000,KE,37.460000,2.300000
KE SOTER_55-1,3.000000,7.200000,7.600000,0.200000,0.400000,KE,37.950000,2.300000
KE SOTER_55-10,3.000000,15.500000,1.000000,3.000000,0.000000,KE,37.500000,2.500000
KE SOTER_55-13,3.000000,44.600000,6.600000,2.000000,1.300000,KE,37.833300,2.483300
KE SOTER_55-19,3.000000,46.000000,14.700000,0.700000,0.400000,KE,37.900000,2.120000
KE SOTER_55-8,3.000000,6.000000,3.800000,0.600000,1.400000,KE,37.520000,2.430000
KE SOTER_67-17,3.000000,16.900000,3.700000,0.100000,0.800000,KE,37.520000,1.980000
KE SOTER_72/2-520,3.000000,6.400000,2.500000,0.300000,0.200000,KE,35.500000,1.000000
KE SOTER_74/4-1,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,34.900000,1.070000
KE SOTER_74/4-2,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,34.828000,1.164000
KE SOTER_74/4-3,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,34.800000,1.200000
KE SOTER_75/1-104,3.000000,3.400000,2.500000,0.000000,0.200000,KE,35.171900,1.390900
KE SOTER_75/1-326,3.000000,1.700000,0.700000,0.200000,0.300000,KE,35.149300,1.270500
KE SOTER_75/1-488,3.000000,10.800000,6.300000,2.200000,0.300000,KE,35.312200,1.411400
KE SOTER_75/1-57,3.000000,2.400000,1.700000,0.100000,1.200000,KE,35.209300,1.327300
KE SOTER_75/2-383,3.000000,1.200000,1.000000,0.200000,0.500000,KE,35.400000,1.300000
KE SOTER_75/2-507,3.000000,4.400000,1.900000,0.600000,0.300000,KE,35.300000,1.400000
KE SOTER_75/2-539,3.000000,13.600000,5.000000,1.200000,0.300000,KE,35.450000,1.900000
KE SOTER_75/3-11,3.000000,10.900000,12.000000,0.700000,0.500000,KE,35.070000,1.070000
KE SOTER_75/3-2,3.000000,1.500000,2.000000,0.000000,0.500000,KE,35.036200,1.179500
KE SOTER_75/3-3,3.000000,14.400000,14.000000,5.400000,1.400000,KE,35.000000,1.090000
KE SOTER_75/3-53,3.000000,1.800000,1.800000,0.700000,0.800000,KE,35.101800,1.206800
KE SOTER_75/3-55,3.000000,4.900000,4.000000,0.400000,0.700000,KE,35.140300,1.165900
KE SOTER_75/3-61,3.000000,2.800000,1.500000,0.000000,0.300000,KE,35.140300,1.200000
KE SOTER_75/4-378,3.000000,1.000000,0.400000,0.200000,0.300000,KE,35.400000,1.189700
KE SOTER_88/2-2,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,34.950000,0.940000
KE SOTER_88/2-4,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,34.780000,0.940000
KE SOTER_89/4-5,3.000000,6.200000,3.800000,0.300000,0.400000,KE,35.400000,0.500000
KE SOTER_9.1,3.000000,3.200000,4.100000,0.300000,0.600000,KE,35.000000,0.500000
KE SOTER_9.2,3.000000,19.300000,2.400000,0.900000,2.200000,KE,35.000000,0.530000
KE SOTER_90-3,3.000000,6.000000,2.600000,0.200000,0.800000,KE,35.500000,0.400000
KE SOTER_9-1,3.000000,22.000000,10.200000,1.200000,0.200000,KE,36.670000,0.000000
KE SOTER_92/1-1,3.000000,47.500000,7.300000,1.700000,0.000000,KE,36.720000,0.770000
KE SOTER_92-1,3.000000,13.200000,4.500000,0.300000,0.800000,KE,36.670000,0.520000
