"annual_precip","clay","h20cap_pf2_0","land_elevation","occ","ph20","silt","terrain_slope","wet_index","X","Y","mg"
1684.69360351562,22,20,3020,41,55,36,32,81,34.5422366193646,0.992285052083562,287
1867.71716308594,21,20,3076,22,59,36,12,87,34.5568199526746,0.992285052083562,301
1939.91430664062,23,19,3114,30,56,35,27,83,34.5755699526446,0.992285052083562,334
1899.40026855469,23,19,3040,27,57,34,2,85,34.5922366192846,0.992285052083562,266
1927.00305175781,25,19,2974,38,55,33,30,88,34.6026532859346,0.992285052083562,317
1915.88757324219,25,19,2951,28,55,33,20,88,34.6130699525846,0.992285052083562,292
2046.86413574219,28,19,2751,38,55,31,21,88,34.6630699525046,0.992285052083562,255
2089.78002929688,29,19,2793,33,55,32,9,86,34.6839032858045,0.992285052083562,250
1568.2705078125,24,19,2911,58,54,36,14,86,34.4984866194346,0.990201718753562,376
1623.20581054688,24,19,3062,28,55,35,9,80,34.5297366193846,0.990201718753562,313
1867.71716308594,21,20,3076,22,59,36,12,87,34.5589032860046,0.990201718753562,309
1899.40026855469,23,19,3040,27,57,34,2,85,34.5880699526246,0.990201718753562,264
2010.33911132812,26,19,2983,31,55,32,10,87,34.6318199525546,0.990201718753562,277
2089.78002929688,29,19,2793,33,55,32,9,86,34.6818199524745,0.990201718753562,251
1902.97509765625,23,18,2982,31,56,33,14,80,34.5797366193046,0.988118385423562,345
2070.75659179688,29,18,2857,38,56,31,5,85,34.6693199524946,0.988118385423562,274
2070.75659179688,29,18,2857,38,56,31,5,85,34.6734866191546,0.988118385423562,271
2089.78002929688,29,19,2793,33,55,32,9,86,34.6839032858045,0.988118385423562,242
2099.423828125,35,17,2633,43,57,30,7,92,34.7026532857745,0.988118385423562,249
1616.03100585938,23,20,2793,63,54,37,7,87,34.4901532861146,0.986035052093562,389
1509.35534667969,24,20,2867,54,56,35,25,84,34.5047366194246,0.986035052093562,382
1939.91430664062,23,19,3114,30,56,35,27,83,34.5734866193146,0.986035052093562,338
1902.97509765625,23,18,2982,31,56,33,14,80,34.5776532859746,0.986035052093562,357
1902.97509765625,23,18,2982,31,56,33,14,80,34.5818199526346,0.986035052093562,327
1956.35729980469,26,19,2986,28,55,33,13,92,34.6255699525646,0.986035052093562,279
2031.29760742188,28,19,2797,31,54,31,20,88,34.6589032858446,0.986035052093562,276
2089.78002929688,29,19,2793,33,55,32,9,86,34.6818199524745,0.986035052093562,253
2089.78002929688,29,19,2793,33,55,32,9,86,34.6839032858045,0.986035052093562,244
1517.79431152344,24,19,2928,55,54,36,8,85,34.5109866194146,0.983951718763562,371
1680.65441894531,22,19,2989,46,54,36,8,84,34.5359866193746,0.983951718763562,358
1893.12780761719,26,19,2884,40,54,33,29,88,34.6151532859146,0.983951718763562,297
2098.30981445312,34,17,2692,45,55,29,14,93,34.6943199524545,0.983951718763562,249
2098.30981445312,34,17,2692,45,55,29,14,93,34.7005699524445,0.983951718763562,253
1517.79431152344,24,19,2928,55,54,36,8,85,34.5109866194146,0.981868385433562,370
1583.14086914062,25,19,2943,55,55,34,14,81,34.5234866193946,0.981868385433562,351
1953.12841796875,23,20,3097,19,58,35,6,89,34.5672366193246,0.981868385433562,316
1935.013671875,24,19,2991,29,55,33,16,93,34.5943199526146,0.981868385433562,305
2057.77563476562,29,18,2803,38,53,31,21,94,34.6672366191646,0.981868385433562,280
2062.47265625,29,19,2736,29,55,31,24,90,34.6693199524946,0.981868385433562,288
2074.43090820312,31,18,2753,31,55,32,13,90,34.6839032858045,0.981868385433562,264
2089.33081054688,33,17,2721,41,54,30,9,97,34.6880699524645,0.981868385433562,232
2099.76098632812,36,17,2629,34,55,28,10,91,34.7047366191045,0.981868385433562,249
1953.12841796875,23,20,3097,19,58,35,6,89,34.5672366193246,0.979785052103562,321
1990.36706542969,26,19,2908,41,54,33,7,93,34.6297366192246,0.979785052103562,231
2057.77563476562,29,18,2803,38,53,31,21,94,34.6672366191646,0.979785052103562,275
1836.06005859375,23,19,3000,31,56,34,9,83,34.5880699526246,0.977701718773562,336
1990.36706542969,26,19,2908,41,54,33,7,93,34.6276532858946,0.977701718773562,249
2060.6005859375,28,18,2817,38,56,32,10,92,34.6526532858546,0.977701718773562,252
2062.47265625,29,19,2736,29,55,31,24,90,34.6755699524846,0.977701718773562,286
2099.76098632812,36,17,2629,34,55,28,10,91,34.7026532857745,0.977701718773562,254
1668.95300292969,24,19,2961,49,52,35,11,77,34.5276532860546,0.975618385443562,340
1745.24096679688,25,18,2803,44,53,34,17,79,34.5797366193046,0.975618385443562,324
1764.35119628906,24,19,2886,37,53,34,15,81,34.5880699526246,0.975618385443562,315
