"annual_precip","clay","occ","ph20","tree_cover","X","Y","k"
2028.81494140625,34,48,60,29,36.6338812302417,-0.861885900841947,514
2104.12817382812,26,43,53,49,36.7026306419786,-0.861885900841947,308
2119.40502929688,27,44,52,67,36.719297166036,-0.861885900841947,276
2118.99145507812,29,40,50,65,36.7276304280648,-0.861885900841947,265
2091.12768554688,32,48,49,95,36.7630467916868,-0.861885900841947,389
2081.23168945312,33,54,52,92,36.7713800537155,-0.861885900841947,316
2037.73022460938,33,52,51,50,36.7922132087873,-0.861885900841947,734
1970.90258789062,38,48,52,28,36.8047131018304,-0.861885900841947,816
1970.90258789062,38,48,52,28,36.8067964173375,-0.861885900841947,835
1970.90258789062,38,48,52,28,36.8088797328447,-0.861885900841947,867
2001.37512207031,38,35,60,21,36.6192980216915,-0.863969254878421,603
2062.798828125,32,58,59,39,36.6380478612561,-0.863969254878421,505
2088.62646484375,30,61,60,78,36.660964331835,-0.863969254878421,337
2094.78247070312,29,47,60,49,36.6692975938638,-0.863969254878421,309
2094.78247070312,29,47,60,49,36.6755475403853,-0.863969254878421,327
2100.49780273438,28,60,58,45,36.6776308558925,-0.863969254878421,308
2100.32641601562,28,57,54,67,36.6901307489355,-0.863969254878421,333
2100.205078125,27,48,54,70,36.6984640109643,-0.863969254878421,295
2112.19458007812,27,48,52,46,36.7130472195145,-0.863969254878421,276
2112.19458007812,27,48,52,46,36.7151305350217,-0.863969254878421,277
2118.99145507812,29,40,50,65,36.7297137435719,-0.863969254878421,275
2095.80541992188,32,46,50,95,36.7567968451653,-0.863969254878421,324
2081.23168945312,33,54,52,92,36.7692967382083,-0.863969254878421,330
2064.24975585938,33,46,54,92,36.777630000237,-0.863969254878421,310
2006.13330078125,36,41,55,31,36.7963798398016,-0.863969254878421,778
2006.13330078125,36,41,55,31,36.7984631553088,-0.863969254878421,799
1960.04357910156,40,33,61,20,36.6047148131412,-0.866052608914895,646
2020.31506347656,36,44,60,19,36.6317979147345,-0.866052608914895,513
2093.08422851562,31,58,59,16,36.6505477542992,-0.866052608914895,349
2109.07739257812,27,61,54,53,36.6776308558925,-0.866052608914895,304
2109.07739257812,27,61,54,53,36.683880802414,-0.866052608914895,286
2052.34692382812,33,50,52,74,36.7817966312514,-0.866052608914895,405
2032.94592285156,33,54,52,67,36.7880465777729,-0.866052608914895,703
2032.94592285156,33,54,52,67,36.7922132087873,-0.866052608914895,767
1960.04357910156,40,33,61,20,36.6047148131412,-0.868135962951369,669
1960.04357910156,40,33,61,20,36.6088814441556,-0.868135962951369,616
2098.4248046875,30,57,58,42,36.6567977008207,-0.868135962951369,338
