"annual_precip","land_elevation","occ","ph20","temp_annual_range","tree_cover","X","Y","k"
787.566040039062,1764,8,66,17.9807071685791,17,36.2026349197871,0.144374099378882,747
851.305053710938,1828,13,65,17.9842491149902,12,36.2172181283432,0.144374099378882,785
657.587768554688,1711,11,60,17.9072952270508,9,36.2484678609636,0.144374099378882,830
794.437927246094,1639,7,65,18.0667629241943,11,36.1443020855624,0.142290745341615,714
794.437927246094,1639,7,65,18.0667629241943,11,36.1484687165784,0.142290745341615,682
732.664794921875,1590,6,68,18.0406723022461,9,36.1651352406426,0.142290745341615,717
710.394775390625,1654,7,67,18.0028514862061,3,36.1901350267389,0.142290745341615,746
666.091003417969,1781,7,63,17.9048175811768,0,36.2651343850278,0.142290745341615,699
710.394775390625,1654,7,67,18.0028514862061,3,36.1880517112309,0.140207391304348,703
763.700622558594,1741,11,67,17.9448947906494,12,36.2318013368994,0.140207391304348,769
664.583740234375,1722,9,62,17.9142608642578,5,36.2463845454556,0.140207391304348,805
664.583740234375,1722,9,62,17.9142608642578,5,36.2484678609636,0.140207391304348,770
664.583740234375,1722,9,62,17.9142608642578,5,36.2505511764716,0.140207391304348,760
666.091003417969,1781,7,63,17.9048175811768,0,36.2651343850278,0.140207391304348,730
775.813171386719,1593,7,65,18.0537338256836,4,36.1588852941186,0.13812403726708,695
703.863464355469,1586,7,67,18.0277576446533,0,36.1713851871667,0.13812403726708,705
703.863464355469,1586,7,67,18.0277576446533,0,36.1734685026747,0.13812403726708,708
840.369262695312,1748,14,68,17.967248916626,3,36.2234680748673,0.13812403726708,784
763.700622558594,1741,11,67,17.9448947906494,12,36.2318013368994,0.13812403726708,780
661.074401855469,1737,9,59,17.9052906036377,3,36.2568011229957,0.13812403726708,748
691.900024414062,1895,15,62,17.92356300354,22,36.2776342780759,0.13812403726708,650
794.437927246094,1639,7,65,18.0667629241943,11,36.1463854010704,0.136040683229813,705
703.863464355469,1586,7,67,18.0277576446533,0,36.1755518181828,0.136040683229813,741
701.30810546875,1652,7,66,18.0153179168701,6,36.1776351336908,0.136040683229813,745
840.369262695312,1748,14,68,17.967248916626,3,36.2213847593593,0.136040683229813,802
