"elevation","occ","ph20","slope","wetness_index","X","Y","mg"
1475,16,56,3,111,34.6630699525046,0.558951719443564,203
1288,14,55,2,115,34.4276532862147,0.556868386113564,266
1313,15,55,3,107,34.4922366194446,0.556868386113564,236
1443,15,56,3,113,34.6922366191245,0.556868386113564,213
1425,17,56,3,114,34.5859866192946,0.554785052783564,187
1474,15,56,3,111,34.6630699525046,0.550618386123564,192
1489,17,57,3,111,34.7443199523745,0.550618386123564,171
1474,15,59,2,105,34.8193199522545,0.548535052793564,220
1339,16,55,4,104,34.4984866194346,0.546451719463564,222
1442,15,58,5,105,34.7651532856745,0.546451719463564,207
1329,18,56,3,104,34.4880699527846,0.544368386133564,244
1296,14,56,4,110,34.4339032862047,0.542285052803564,311
1489,16,56,1,117,34.6505699525246,0.538118386143564,197
1463,13,57,2,109,34.7734866189945,0.525618386163564,210
1272,13,56,2,113,34.4193199528947,0.521451719503564,214
1402,15,55,4,110,34.6276532858946,0.521451719503564,180
1480,18,53,3,106,34.6401532858746,0.519368386173564,159
1433,15,58,2,110,34.7214032857445,0.515201719513564,215
1356,18,56,3,106,34.4984866194346,0.511035052853564,273
1410,14,56,2,113,34.6839032858045,0.511035052853564,221
1410,14,56,2,113,34.6859866191345,0.511035052853564,214
1641,18,56,18,80,34.8922366188044,0.508951719523564,334
1398,16,56,3,107,34.5609866193346,0.506868386193564,196
1510,13,57,3,106,34.8276532855745,0.506868386193564,190
1493,13,57,4,109,34.7630699523445,0.500618386203564,177
1235,11,56,3,111,34.3901532862747,0.498535052873564,267
1300,15,56,2,107,34.4714032861446,0.498535052873564,216
1444,15,56,3,110,34.7276532857345,0.496451719543564,186
1555,15,55,2,103,34.8318199522345,0.494368386213564,160
1534,14,56,5,103,34.8005699522845,0.492285052883564,172
1437,14,54,4,107,34.6318199525546,0.490201719553564,165
1367,18,56,4,106,34.5651532859946,0.488118386223564,217
1394,13,55,3,108,34.5901532859546,0.488118386223564,179
1368,12,56,5,108,34.6026532859346,0.488118386223564,217
1517,12,56,2,109,34.7714032856645,0.488118386223564,165
1518,14,56,5,104,34.8130699522645,0.488118386223564,196
1301,17,57,2,109,34.4797366194646,0.486035052893564,214
1437,14,54,4,107,34.6297366192246,0.486035052893564,168
1543,16,56,3,101,34.8693199521745,0.479785052903564,232
1626,16,58,3,85,34.9068199521144,0.479785052903564,275
1279,14,56,3,112,34.4526532861747,0.477701719573564,199
1384,18,56,3,105,34.5318199527146,0.475618386243564,191
1405,17,57,5,111,34.6776532858145,0.473535052913564,192
1240,12,56,1,110,34.4151532862347,0.471451719583564,223
1237,13,57,1,109,34.4047366195847,0.469368386253564,227
1282,14,56,2,114,34.4484866195147,0.469368386253564,211
1377,15,54,3,107,34.5651532859946,0.469368386253564,193
1366,15,56,4,108,34.6255699525646,0.469368386253564,194
1239,11,56,3,109,34.3964032862647,0.465201719593564,223
1371,16,57,3,108,34.5714032859846,0.463118386263564,177
1553,14,54,3,111,34.7693199523345,0.461035052933564,175
1250,10,56,3,110,34.4109866195747,0.458951719603564,198
1541,14,55,4,104,34.7734866189945,0.458951719603564,182
1342,17,56,2,111,34.5672366193246,0.454785052943564,197
1594,16,54,11,94,34.8130699522645,0.452701719613564,206
1735,20,57,45,76,34.9318199520744,0.452701719613564,320
1382,17,56,1,113,34.5589032860046,0.450618386283564,158
1368,13,57,4,105,34.6568199525146,0.450618386283564,220
1592,16,54,5,99,34.8359866188945,0.450618386283564,178
1607,15,58,5,97,34.9047366187844,0.446451719623564,240
1294,14,55,2,109,34.4672366194846,0.444368386293564,213
1659,22,57,4,96,34.8651532855145,0.444368386293564,187
1514,14,56,5,102,34.7964032856245,0.442285052963564,203
1617,19,57,3,104,34.8547366188645,0.442285052963564,184
1401,12,56,4,102,34.6672366191645,0.440201719633564,183
