"X","Y","mg","annual_precip","clay","h20_cap","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","valley_depth","wet_index"
34.9755699520044,0.75478505246357,330,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0714032851844,0.75478505246357,292,1089.50109863281,46,27,1763,23,59,34,20,18.7205638885498,7,-8,2024,105
35.1151532851143,0.75478505246357,353,1225.77661132812,47,27,1901,17,59,34,19,18.6124877929688,1,66,1236,112
35.1193199517743,0.75478505246357,358,1257.72631835938,47,28,1922,20,59,33,20,18.6036548614502,2,86,1179,113
35.1214032851043,0.75478505246357,401,1257.72631835938,47,28,1922,20,59,33,20,18.6036548614502,2,86,1179,113
35.1339032850843,0.75478505246357,361,1252.90515136719,47,28,1918,20,58,33,20,18.6015949249268,2,70,1296,117
35.1089032851243,0.75270171913357,376,1176.31274414062,47,28,1881,19,61,33,20,18.6327533721924,5,21,1373,105
35.1380699517443,0.75270171913357,335,1213.61169433594,47,28,1904,19,58,32,21,18.6069717407227,4,-1,1586,110
35.0651532851944,0.75061838580357,289,1147.0810546875,47,28,1781,22,61,32,21,18.7011184692383,4,-55,1764,102
34.9755699520044,0.74853505247357,318,1169.64562988281,46,28,1659,26,60,34,19,18.7197532653809,5,-98,1847,98
35.1234866184343,0.74853505247357,392,1236.26281738281,47,28,1912,22,60,34,20,18.60964012146,2,9,1291,115
35.1401532850743,0.74853505247357,354,1215.15942382812,47,28,1923,18,58,33,20,18.60178565979,3,85,1450,119
35.1443199517343,0.74853505247357,365,0,0,0,0,0,0,0,0,0,0,0,0,0
34.9943199519744,0.74645171914357,315,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0359866185744,0.74645171914357,324,1065.25073242188,46,27,1712,18,59,33,21,18.7543163299561,6,-188,1813,99
35.0714032851844,0.74645171914357,295,1122.24243164062,47,28,1790,22,61,32,21,18.7000865936279,5,33,1653,104
35.1047366184643,0.74645171914357,364,1171.99890136719,46,27,1892,16,59,34,20,18.6296501159668,5,44,1455,104
35.1339032850843,0.74645171914357,409,1240.27160644531,46,27,1925,20,59,35,20,18.6022853851318,3,47,1427,115
35.0547366185444,0.74436838581357,293,1146.22448730469,48,28,1795,19,59,32,21,18.6989860534668,4,134,1478,100
