"X","Y","k","annual_precip","clay","h20_cap","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","valley_depth","wet_index"
35.1276532850943,0.73603505249357,449,1200.33776855469,47,28,1921,19,60,33,20,18.6129570007324,2,67,1518,114
35.1464032850643,0.73603505249357,445,1173.78051757812,47,29,1906,23,60,33,20,18.612190246582,1,-68,1903,115
34.9922366186444,0.73395171916357,305,1428.3994140625,46,28,1734,24,60,34,20,18.6827411651611,8,0,990,90
35.0255699519244,0.73395171916357,290,1076.71813964844,45,27,1737,17,59,35,20,18.7459812164307,3,97,1486,102
35.0339032852444,0.73395171916357,279,1077.49365234375,45,27,1759,19,59,35,20,18.7366218566895,1,137,1417,98
35.0943199518143,0.73395171916357,456,1158.87377929688,46,28,1886,19,58,34,20,18.6448345184326,8,90,1362,108
35.1068199517943,0.73395171916357,406,1175.84729003906,47,28,1875,18,59,33,20,18.6361541748047,3,-75,1558,111
34.9255699520844,0.73186838583357,207,0,0,0,0,0,0,0,0,0,0,0,0,0
34.9318199520744,0.73186838583357,203,1106.03930664062,45,27,1640,21,61,35,19,18.6687126159668,4,-82,2190,106
34.9693199520144,0.73186838583357,245,1475.10205078125,47,28,1784,28,59,34,19,18.6493816375732,10,89,914,93
34.9859866186544,0.73186838583357,244,1428.3994140625,46,28,1734,24,60,34,20,18.6827411651611,8,0,990,90
34.9901532853144,0.73186838583357,259,1428.3994140625,46,28,1734,24,60,34,20,18.6827411651611,8,0,990,90
34.9964032853044,0.73186838583357,324,1265.92700195312,47,28,1699,23,61,33,20,18.7248229980469,5,-71,1128,96
35.0005699519644,0.73186838583357,378,1265.92700195312,47,28,1699,23,61,33,20,18.7248229980469,5,-71,1128,96
35.0422366185644,0.73186838583357,238,1098.91076660156,45,27,1784,19,57,36,20,18.7108726501465,7,77,1379,96
35.0464032852244,0.73186838583357,262,1162.66491699219,45,27,1786,22,59,35,20,18.6763572692871,8,-112,1661,95
35.0922366184843,0.73186838583357,417,1152.45495605469,45,28,1859,23,58,34,20,18.6562366485596,9,-51,1645,107
34.9964032853044,0.72978505250357,347,1265.92700195312,47,28,1699,23,61,33,20,18.7248229980469,5,-71,1128,96
35.1005699518043,0.72978505250357,376,1158.87377929688,46,28,1886,19,58,34,20,18.6448345184326,8,90,1362,108
35.1130699517843,0.72978505250357,380,1181.24401855469,47,28,1878,19,59,32,21,18.6328754425049,1,-81,1766,113
34.9339032854044,0.72770171917357,204,1106.03930664062,45,27,1640,21,61,35,19,18.6687126159668,4,-82,2190,106
34.9693199520144,0.72770171917357,309,1475.10205078125,47,28,1784,28,59,34,19,18.6493816375732,10,89,914,93
35.0901532851543,0.72770171917357,378,1152.45495605469,45,28,1859,23,58,34,20,18.6562366485596,9,-51,1645,107
35.1214032851043,0.72770171917357,379,1176.74621582031,48,28,1900,20,60,33,20,18.62961769104,4,0,1704,111
34.9443199520544,0.72561838584357,197,1143.0078125,47,27,1702,21,60,34,20,18.6816215515137,6,11,1578,95
34.9464032853844,0.72561838584357,207,1143.0078125,47,27,1702,21,60,34,20,18.6816215515137,6,11,1578,95
35.0089032852844,0.72561838584357,385,1209.83422851562,46,27,1704,21,60,33,20,18.7283954620361,3,-141,1389,99
35.1193199517743,0.72561838584357,379,1188.16247558594,47,29,1889,19,58,32,21,18.6271209716797,3,-69,1986,113
35.1214032851043,0.72561838584357,394,1188.16247558594,47,29,1889,19,58,32,21,18.6271209716797,3,-69,1986,113
34.9359866187344,0.72353505251357,212,1093.49755859375,47,27,1680,18,59,34,19,18.6763706207275,2,84,1748,103
35.0589032852044,0.72353505251357,307,1284.62145996094,49,28,1884,23,61,32,19,18.6216678619385,2,136,537,107
35.1172366184443,0.72353505251357,420,1203.02819824219,48,28,1893,21,60,32,21,18.6250152587891,2,-7,1758,112
34.9401532853944,0.72145171918357,240,1093.49755859375,47,27,1680,18,59,34,19,18.6763706207275,2,84,1748,103
34.9589032853644,0.72145171918357,255,1245.88708496094,46,28,1795,23,59,34,20,18.6578598022461,6,288,568,90
35.0026532852944,0.72145171918357,384,1209.83422851562,46,27,1704,21,60,33,20,18.7283954620361,3,-141,1389,99
35.1109866184543,0.72145171918357,429,1203.02819824219,48,28,1893,21,60,32,21,18.6250152587891,2,-7,1758,112
34.9464032853844,0.71936838585357,241,1143.0078125,47,27,1702,21,60,34,20,18.6816215515137,6,11,1578,95
35.0172366186044,0.71936838585357,389,1122.94604492188,46,28,1701,17,58,34,20,18.7398090362549,3,-128,1600,98
35.0589032852044,0.71936838585357,328,1284.62145996094,49,28,1884,23,61,32,19,18.6216678619385,2,136,537,107
34.9297366187444,0.71728505252357,244,1068.90417480469,45,27,1623,18,60,36,19,18.6565551757812,5,-156,2310,103
34.9818199519944,0.71728505252357,461,1542.70190429688,47,28,1844,22,62,34,19,18.6058769226074,2,105,16,110
