"annual_ppt","elevation","occ","slope","temp_annual_range","treecover","wetness_index","X","Y","k"
1285.07690429688,1519,17,7,17.8494243621826,16,94,34.5609866193346,0.715201719193563,162
1641.59350585938,1618,16,3,17.9428882598877,19,101,34.5755699526446,0.715201719193563,119
1578.0244140625,1548,17,2,17.9879302978516,16,105,34.6005699526046,0.715201719193563,131
1391.29467773438,1680,13,3,18.6170349121094,9,99,34.8901532854744,0.715201719193563,228
1240.06323242188,1882,21,4,18.6269912719727,13,113,35.0839032851643,0.715201719193563,423
1309.4521484375,1497,14,2,17.6925354003906,16,96,34.4964032861046,0.713118385863563,198
1668.54418945312,1577,15,2,17.9752368927002,11,106,34.5901532859546,0.711035052533563,121
1190.91711425781,1373,15,3,17.6393089294434,21,108,34.4547366195047,0.708951719203563,195
1256.80969238281,1502,16,3,18.1568641662598,15,110,34.6714032858245,0.708951719203563,116
1375.63427734375,1699,16,2,18.5971927642822,10,103,34.8734866188344,0.708951719203563,211
1188.83435058594,1855,26,3,18.6405811309814,82,105,35.0484866185544,0.708951719203563,279
1275.0830078125,1493,11,5,17.7126960754395,11,99,34.5193199527346,0.706868385873563,160
1601.40588378906,1670,18,1,18.4547290802002,16,115,34.7880699523045,0.706868385873563,215
1156.7685546875,1488,16,2,18.1843128204346,27,109,34.6922366191245,0.704785052543563,125
1469.64721679688,1846,18,2,18.6010608673096,10,113,34.9839032853244,0.704785052543563,378
1214.68603515625,1638,15,7,18.295316696167,9,99,34.7276532857345,0.702701719213564,141
1557.17700195312,1655,17,3,18.4221572875977,30,113,34.7734866189945,0.702701719213564,196
1349.63269042969,1681,14,4,18.5865535736084,11,104,34.8734866188344,0.702701719213564,215
1121.61975097656,1638,21,4,18.6429004669189,14,101,34.9255699520844,0.702701719213564,234
1158.2216796875,1579,14,4,18.4989185333252,22,107,34.8359866188945,0.700618385883564,178
1406.15856933594,1530,18,4,18.1116981506348,16,112,34.6672366191645,0.698535052553564,114
1299.83312988281,1585,15,3,18.4792976379395,17,107,34.8276532855745,0.698535052553564,163
1311.693359375,1827,26,3,18.6145801544189,7,101,34.9734866186744,0.698535052553564,402
1384.12194824219,1867,23,2,18.6088905334473,14,114,35.0172366186044,0.698535052553564,453
1189.20837402344,1393,9,3,17.6586971282959,9,101,34.4839032861246,0.694368385893564,198
1332.72204589844,1529,17,3,18.1538944244385,19,112,34.6859866191345,0.694368385893564,112
1237.32849121094,1501,15,2,18.1703796386719,16,111,34.6901532857945,0.694368385893564,120
1174.4716796875,1627,18,4,18.6035499572754,22,102,34.8984866187944,0.694368385893564,194
1422.28625488281,1856,17,1,18.6035594940186,7,110,34.9964032853044,0.694368385893564,445
1246.75268554688,1886,17,2,18.6184787750244,17,117,35.0568199518744,0.694368385893564,298
1524.81921386719,1668,20,4,18.3562660217285,15,117,34.7464032857045,0.690201719233564,165
1199.98046875,1589,15,4,18.4805946350098,31,106,34.8339032855645,0.690201719233564,178
1616.00695800781,1537,18,2,17.9300975799561,17,110,34.6026532859346,0.688118385903564,136
1597.68579101562,1635,16,3,18.3699588775635,14,109,34.7568199523545,0.688118385903564,162
1333.01770019531,1841,20,0,18.6051216125488,11,112,34.9901532853144,0.688118385903564,395
1501.72680664062,1639,18,3,18.425464630127,19,108,34.7922366189645,0.686035052573564,161
1157.01403808594,1339,12,3,17.562593460083,20,110,34.4401532861947,0.683951719243564,180
